0x400de0 , strlen@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 20 , 18
0x407da4 , init_RL , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 18 , 2
0x4083ee , flush_RL , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 16 , 1
0x400d40 , free@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 13 , 11
0x400eb0 , malloc@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 13 , 11
0x40599a , saveInputFileMetaInfo , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 13 , 1
0x401000 , register_tm_clones , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 12 , 1
0x400fa0 , _start , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 11 , 1
0x40c144 , BZ2_bsInitWrite , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 9 , 1
0x400f80 , strstr@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 8 , 6
0x400fd0 , deregister_tm_clones , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 8 , 1
0x401040 , __do_global_dtors_aux , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 8 , 1
0x417e30 , stat , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 8 , 2
0x400d60 , strncpy@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 7 , 5
0x400e60 , signal@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 7 , 5
0x400cf0 , _init , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 6 , 1
0x400dd0 , fclose@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 6 , 4
0x405a4b , containsDubiousChars , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 6 , 1
0x400d80 , strncmp@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 5 , 3
0x400d90 , strcpy@plt , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 5 , 3
0x407cd0 , bz_config_ok , /home/maya/Desktop/pin-3.25-98650-g8f6168173-gcc-linux/source/tools/inline/bzip2 , 0x400000 , 5 , 1
